Date,Temperature (C),Precip Type,Humidity,Wind Speed (km/h),Pressure (millibars),Summary,Ordinal
2006-03-02,18.9611111111,1,0.93,17.4041,1019.32,18,732372
2006-03-03,11.75,1,0.88,26.8387,1016.8,18,732373
2006-03-04,17.6722222222,0,0.93,31.556,1018.02,18,732374
2006-03-05,22.8722222222,0,1,10.7548,1021.14,17,732375
2006-03-06,24.0055555556,0,0.93,20.3504,1022.31,18,732376
2006-03-07,23.8611111111,0,0.8,17.1948,1018.07,18,732377
2006-03-08,21.2277777778,0,0.95,22.9425,1021.25,18,732378
2006-03-09,24.1166666667,0,0.96,16.0034,1021.98,18,732379
2006-03-10,6.1222222222,0,0.99,11.0768,1021.28,17,732380
2006-03-11,5.1166666667,0,0.95,15.4721,1020.21,18,732381
2006-03-12,7.8722222222,0,0.95,14.0714,1019.3,23,732382
2006-03-13,7.3111111111,1,0.93,14.3934,1014.42,23,732383
2006-03-14,12.9166666667,1,0.98,21.7833,1013.59,17,732384
2006-03-15,16.0833333333,0,0.89,27.9979,1010.59,17,732385
2006-03-16,14.9611111111,0,0.89,26.1303,1009.12,18,732386
2006-03-17,13.8111111111,0,0.99,34.1642,1012.31,18,732387
2006-03-18,7.9388888889,1,0.8,27.2573,1017.52,18,732388
2006-03-19,20,0,0.89,29.3986,1017.93,18,732389
2006-03-20,21.1833333333,0,0.88,36.9817,1014.49,13,732390
2006-03-21,18.9666666667,0,0.92,37.8994,1012.37,18,732391
2006-03-22,12.1,1,0.95,43.631,1013.23,17,732392
2006-03-23,14.0444444444,0,0.81,28.1106,1017.96,18,732393
2006-03-24,17.2388888889,0,0.82,19.5454,1016.91,18,732394
2006-03-25,12.4166666667,0,0.93,39.5255,1015.38,18,732395
2006-03-26,9.3111111111,0,0.96,23.6831,1006.3,18,732396
2006-03-27,1.0166666667,1,0.96,24.6652,1011.64,18,732397
2006-03-28,2.1722222222,1,0.85,24.8584,1014.99,18,732398
2006-03-29,2.4888888889,1,0.88,21.9443,1017.9,24,732399
2006-03-30,15.7222222222,0,0.96,17.3075,1018.45,18,732400
2006-03-31,21.2277777778,0,0.93,23.5704,1014.47,18,732401
2006-04-01,21.1833333333,0,0.94,28.3682,1014.52,18,732402
2006-04-02,16.0166666667,0,0.99,13.3791,1017.23,18,732403
2006-04-03,17.8,0,0.96,24.5203,1015.4,18,732404
2006-04-04,15.0888888889,0,1,26.7743,1014.35,18,732405
2006-04-05,7.55,0,0.95,23.6187,1016.82,18,732406
2006-04-06,11.0611111111,0,0.92,23.2162,1018.24,17,732407
2006-04-07,13.8888888889,0,0.93,14.49,1018.68,18,732408
2006-04-08,21.0166666667,0,0.95,20.6241,1018.66,18,732409
2006-04-09,32.5388888889,0,0.92,13.4113,1011.86,18,732410
2006-04-10,17.5166666667,0,0.99,28.1267,1007,18,732411
2006-04-11,11.0666666667,0,0.93,32.1678,1012.23,18,732412
2006-04-12,9.1833333333,0,0.94,20.5114,1015.35,17,732413
2006-04-13,16.2944444444,0,0.93,23.5865,1016.56,18,732414
2006-04-14,17.8055555556,0,0.86,15.9551,1020.91,18,732415
2006-04-15,18.8611111111,0,0.95,27.37,1013.95,18,732416
2006-04-16,18.4055555556,0,0.96,20.3343,1013.4,18,732417
2006-04-17,19.0388888889,0,0.96,14.4256,1013.61,18,732418
2006-04-18,17.8277777778,0,0.93,23.0713,1015.68,18,732419
2006-04-19,17.7222222222,0,0.96,11.753,1016.25,18,732420
2006-04-20,17.4555555556,0,1,13.6206,1017.77,18,732421
2006-04-21,20.0833333333,0,1,9.4829,1017.82,18,732422
2006-04-22,22.7777777778,0,0.96,11.27,1019.59,18,732423
2006-04-23,23.9333333333,0,0.99,9.7083,1020.6,18,732424
2006-04-24,23.9611111111,0,0.92,12.6224,1021.01,18,732425
2006-04-25,25.0444444444,0,0.92,14.49,1017.78,18,732426
2006-04-26,21.2555555556,0,0.9,20.608,1013.17,18,732427
2006-04-27,21.2277777778,0,0.84,21.9604,1011.6,18,732428
2006-04-28,18.8555555556,0,0.95,28.0623,1014.81,18,732429
2006-04-29,17.8444444444,0,1,16.9855,1014.91,18,732430
2006-04-30,21.2944444444,0,0.96,26.8387,1017.22,18,732431
2006-05-01,19.9722222222,0,0.9,26.8709,1019.5,17,732432
2006-05-02,22.7333333333,0,0.9,39.4128,1019.68,18,732433
2006-05-03,22.1777777778,0,1,9.3058,1033.36,18,732434
2006-05-04,8.9111111111,1,0.92,20.3504,1033.52,18,732435
2006-05-05,7.2666666667,0,0.95,16.6796,1018.26,18,732436
2006-05-06,8.9888888889,0,0.85,36.225,1019.29,18,732437
2006-05-07,13.8611111111,0,0.92,19.8835,1021.09,18,732438
2006-05-08,17.7777777778,0,0.95,13.0249,1022.87,18,732439
2006-05-09,18.8833333333,0,0.93,20.1572,1022.16,18,732440
2006-05-10,23.9111111111,0,0.96,17.2914,1020.6,18,732441
2006-05-11,22.8777777778,0,0.92,28.4487,1017.32,18,732442
2006-05-12,17.2,0,0.96,19.3683,1022.55,18,732443
2006-05-13,23.9944444444,0,0.96,14.1036,1022.96,18,732444
2006-05-14,22.3055555556,0,0.92,13.2664,1012.98,18,732445
2006-05-15,27.8222222222,0,0.91,17.1787,1015.36,18,732446
2006-05-16,30.9444444444,0,0.87,14.49,1015.74,18,732447
2006-05-17,23.0944444444,0,0.92,26.8065,1019.12,18,732448
2006-05-18,21.1111111111,0,0.96,20.1411,1022.53,18,732449
2006-05-19,22.2944444444,0,0.92,17.2109,1022.06,18,732450
2006-05-20,25.9166666667,0,0.91,26.5972,1020.57,18,732451
2006-05-21,17.1777777778,0,0.96,14.1036,1015.7,18,732452
2006-05-22,17.8722222222,0,0.93,14.168,1026.19,18,732453
2006-05-23,14.5611111111,0,1,19.481,1026.32,18,732454
2006-05-24,16.1333333333,0,0.96,28.7385,1015.12,18,732455
2006-05-25,17.8444444444,0,0.89,19.0946,1028.11,18,732456
2006-05-26,21.1777777778,0,0.89,22.54,1025.97,18,732457
2006-05-27,16.1166666667,0,0.89,21.5901,1022.09,18,732458
2006-05-28,18.6666666667,0,1,13.9587,1018.67,18,732459
2006-05-29,18.6888888889,0,0.93,14.1197,1017.92,17,732460
2006-05-30,13.1388888889,1,0.93,14.7637,1015.68,18,732461
2006-05-31,22.6444444444,1,0.85,35.9191,1032.65,18,732462
2006-06-01,28.9555555556,0,0.92,19.8191,1018.92,18,732463
2006-06-02,31.1055555556,0,0.97,16.0517,1025.04,17,732464
2006-06-03,17.9388888889,0,0.86,20.7207,1024.85,18,732465
2006-06-04,6.3333333333,1,0.95,21.1071,1010.36,18,732466
2006-06-05,7.8722222222,0,1,17.2914,1005.74,18,732467
2006-06-06,7.8722222222,0,1,36.9495,1011.77,18,732468
2006-06-07,4.9888888889,1,0.96,45.5308,1017.14,17,732469
2006-06-08,1.0944444444,1,0.96,32.3449,1020.06,18,732470
2006-06-09,27.2666666667,1,0.91,14.168,1021.59,18,732471
2006-06-10,28.9111111111,0,0.93,11.2056,1018.46,18,732472
2006-06-11,30.0722222222,0,0.93,12.6546,1018.89,18,732473
2006-06-12,30.0055555556,0,0.97,12.0106,1018.46,18,732474
2006-06-13,31.1611111111,0,1,23.8924,1016.61,18,732475
2006-06-14,29.8111111111,0,0.99,21.8477,1016.48,18,732476
2006-06-15,31.1722222222,0,0.97,23.4255,1017.26,18,732477
2006-06-16,31.1055555556,0,0.9,14.168,1016.38,18,732478
2006-06-17,31.2444444444,0,0.95,28.2877,1015.76,18,732479
2006-06-18,27.9388888889,0,1,32.8923,1016.88,18,732480
2006-06-19,32.2,0,0.97,14.2968,1017.74,18,732481
2006-06-20,32.8722222222,0,0.91,12.7512,1017.6,18,732482
2006-06-21,34.0055555556,0,0.92,19.964,1016.72,18,732483
2006-06-22,32.1944444444,0,0.97,14.1358,1017.19,18,732484
2006-06-23,28.6166666667,0,0.96,23.2967,1019.24,18,732485
2006-06-24,25.7388888889,0,0.96,24.3432,1018.57,18,732486
2006-06-25,21.3888888889,0,1,19.4327,1019.32,18,732487
2006-06-26,17.1722222222,0,0.96,23.7636,1021.32,18,732488
2006-06-27,18.9,0,0.96,23.8924,1023.22,18,732489
2006-06-28,19.8611111111,0,0.96,21.091,1023.05,18,732490
2006-06-29,19.9777777778,0,0.9,17.0821,1024.81,25,732491
2006-06-30,20.9833333333,1,0.97,16.0195,1021.91,18,732492
2006-07-01,31.0166666667,0,0.96,17.0982,1018.18,25,732493
2006-07-02,32.7055555556,0,0.97,12.5097,1018.68,25,732494
2006-07-03,31.1111111111,0,0.92,15.7297,1018.92,18,732495
2006-07-04,17.8055555556,0,0.96,13.9909,1022.57,18,732496
2006-07-05,15.9722222222,0,1,22.4434,1027.23,18,732497
2006-07-06,22.7888888889,0,0.96,9.7888,1028.1,18,732498
2006-07-07,25,0,0.91,15.4882,1026.21,18,732499
2006-07-08,23.8388888889,0,0.95,17.1143,1022.15,21,732500
2006-07-09,22.8444444444,0,0.93,12.5097,1021.55,18,732501
2006-07-10,27.7111111111,0,0.8,25.1965,1022.82,18,732502
2006-07-11,24.9055555556,0,0.84,21.0427,1023.54,18,732503
2006-07-12,27.0833333333,0,0.86,19.9479,1023.33,18,732504
2006-07-13,27.8722222222,0,0.89,16.6796,1023.95,18,732505
2006-07-14,32.0388888889,0,0.96,14.2485,1022.57,18,732506
2006-07-15,32.8277777778,0,0.97,16.583,1022.06,18,732507
2006-07-16,33.8666666667,0,0.93,10.1913,1020.97,18,732508
2006-07-17,33.8888888889,0,0.87,29.0122,1018.88,18,732509
2006-07-18,32.2666666667,0,0.93,19.4971,1017.8,18,732510
2006-07-19,32.8833333333,0,0.97,24.955,1018.17,18,732511
2006-07-20,32.7333333333,0,0.99,13.5401,1017.05,18,732512
2006-07-21,32.8055555556,0,0.95,11.8174,1016.47,18,732513
2006-07-22,32.8777777778,0,0.97,8.9677,1013.63,18,732514
2006-07-23,33.8388888889,0,0.97,16.8567,1019.91,18,732515
2006-07-24,22.6888888889,0,0.97,13.1698,1022.1,18,732516
2006-07-25,28.7444444444,0,0.97,16.3093,1013.22,18,732517
2006-07-26,31.7944444444,0,0.99,10.6421,1022.62,18,732518
2006-07-27,26.0888888889,0,1,13.7011,1023.42,18,732519
2006-07-28,27.7333333333,0,0.96,12.4292,1024.13,18,732520
2006-07-29,29.8666666667,0,0.88,12.7995,1023.26,18,732521
2006-07-30,31.0166666667,0,0.93,45.9333,1019.87,18,732522
2006-07-31,30.0722222222,0,0.93,16.1644,1019.12,18,732523
2006-08-01,30.8611111111,0,0.92,16.1966,1017,18,732524
2006-08-02,32.6388888889,0,0.93,30.8315,1019.16,18,732525
2006-08-03,23.6611111111,0,1,16.583,1011.44,18,732526
2006-08-04,22.6222222222,0,0.99,18.3379,1007.33,25,732527
2006-08-05,22.85,0,0.96,26.0337,1010.66,18,732528
2006-08-06,25.95,0,1,17.4041,1038.06,18,732529
2006-08-07,9.0444444444,0,1,19.8674,1036.2,18,732530
2006-08-08,7.8,0,0.96,15.9551,1033.43,18,732531
2006-08-09,16.5055555556,0,1,15.4882,1030.78,18,732532
2006-08-10,25.9277777778,0,0.93,22.1053,1009.79,18,732533
2006-08-11,23.8166666667,0,1,25.0033,1009.54,18,732534
2006-08-12,22.0166666667,0,1,15.1018,1013.23,18,732535
2006-08-13,23.8888888889,0,0.99,12.9766,1015.55,18,732536
2006-08-14,24.95,0,0.96,13.6045,1015.99,18,732537
2006-08-15,27.8722222222,0,0.88,15.9229,1015.46,18,732538
2006-08-16,31.2111111111,0,0.92,16.8567,1015.42,18,732539
2006-08-17,32.5444444444,0,0.99,23.667,1017.88,18,732540
2006-08-18,32.1277777778,0,0.99,23.8602,1018.67,18,732541
2006-08-19,27.1777777778,0,0.93,21.8316,1019.29,18,732542
2006-08-20,22.8277777778,0,0.95,16.8889,1018.68,18,732543
2006-08-21,25.0166666667,0,0.95,19.9479,1016.97,18,732544
2006-08-22,26.1333333333,0,0.99,14.0875,1016.7,18,732545
2006-08-23,25.2111111111,0,0.91,15.6492,1012.85,18,732546
2006-08-24,24.9277777778,0,0.96,13.2342,1011.18,18,732547
2006-08-25,25.9111111111,0,0.96,24.0695,1011.71,18,732548
2006-08-26,21.2111111111,0,0.96,27.9013,1011.77,18,732549
2006-08-27,24.8833333333,0,0.96,14.8281,1010.11,18,732550
2006-08-28,22.1277777778,0,0.99,18.6116,1019.31,18,732551
2006-08-29,19.4222222222,0,1,36.386,1019.79,18,732552
2006-08-30,23.7444444444,0,1,17.1626,1011.78,17,732553
2006-08-31,24.5944444444,0,0.96,16.0517,1016.04,18,732554
2006-09-01,23.8888888889,0,0.97,17.066,1021.6,18,732555
2006-09-02,29.8833333333,0,0.89,26.7743,1021.95,18,732556
2006-09-03,20.2166666667,0,0.75,24.8101,1023.76,18,732557
2006-09-04,19.9777777778,0,0.88,9.3058,1022.75,18,732558
2006-09-05,22.2666666667,0,0.81,34.0998,1019.77,18,732559
2006-09-06,16.1611111111,0,0.75,20.5275,1021.64,18,732560
2006-09-07,17.2888888889,0,0.88,10.787,1030.18,18,732561
2006-09-08,21.2333333333,0,0.75,20.769,1022.25,18,732562
2006-09-09,23.7611111111,0,0.66,17.3397,1021.78,18,732563
2006-09-10,22.7555555556,0,0.89,24.9711,1019.65,18,732564
2006-09-11,22.8055555556,0,0.9,24.7457,1019.46,18,732565
2006-09-12,23.9166666667,0,1,10.3845,1019.36,18,732566
2006-09-13,26.0888888889,0,0.96,21.091,1017.82,18,732567
2006-09-14,27.1055555556,0,0.86,20.2538,1013.55,18,732568
2006-09-15,23.7722222222,0,0.92,10.1913,1013.34,16,732569
2006-09-16,22.3833333333,0,0.96,15.4238,1012.71,17,732570
2006-09-17,24.0222222222,0,1,10.0786,1018.72,18,732571
2006-09-18,26.1055555556,0,0.99,13.0249,1020.04,18,732572
2006-09-19,26.1111111111,0,0.99,27.9818,1021.61,18,732573
2006-09-20,26.9777777778,0,0.94,27.692,1022.21,18,732574
2006-09-21,27.2222222222,0,0.99,11.27,1019.87,18,732575
2006-09-22,24.6944444444,0,0.96,34.5023,1023.72,18,732576
2006-09-23,22.1555555556,0,0.91,17.0177,1029.01,18,732577
2006-09-24,17.1777777778,0,0.91,12.9444,1029.37,18,732578
2006-09-25,20.1666666667,0,0.76,29.302,1029.77,18,732579
2006-09-26,17.8944444444,0,0.85,14.2646,1023.58,18,732580
2006-09-27,22.2888888889,0,0.92,10.4167,1025.37,18,732581
2006-09-28,22.4055555556,0,0.92,13.8782,1025.17,18,732582
2006-09-29,22.3111111111,0,0.65,17.6134,1025.14,18,732583
2006-09-30,17.4,0,0.76,20.7368,1024.53,18,732584
2006-10-01,18.8611111111,0,0.92,25.4702,1023.44,18,732585
2006-10-02,22.1722222222,0,0.99,27.9818,1023.65,18,732586
2006-10-03,21.1555555556,0,1,23.5382,1029.53,18,732587
2006-10-04,25.0777777778,0,0.93,20.3665,1026.8,18,732588
2006-10-05,27.1944444444,0,0.81,21.9443,1023.09,17,732589
2006-10-06,25.0833333333,0,0.68,21.1232,1017.87,18,732590
2006-10-07,26.0833333333,0,0.73,25.0999,1016.03,18,732591
2006-10-08,24.7333333333,0,0.89,28.3038,1015.66,18,732592
2006-10-09,19.85,0,0.99,21.8638,1020.21,18,732593
2006-10-10,24.9277777778,0,0.96,22.2341,1018.28,18,732594
2006-10-11,23.9833333333,0,0.9,21.7672,1015.97,18,732595
2006-10-12,22.15,0,0.85,11.1251,1012.59,18,732596
2006-10-13,22.0833333333,0,0.92,10.9963,1014.85,18,732597
2006-10-14,23.7944444444,0,1,22.54,1015,18,732598
2006-10-15,23.6888888889,0,0.86,23.6509,1013.36,18,732599
2006-10-16,22.0055555556,0,0.99,24.1822,1019.98,18,732600
2006-10-17,22.2555555556,0,0.93,17.3397,1023.6,18,732601
2006-10-18,22.6833333333,0,0.87,13.8621,1023.77,18,732602
2006-10-19,22.1055555556,0,0.98,26.4684,1024.79,18,732603
2006-10-20,27.7333333333,0,0.93,38.3019,1015.08,18,732604
2006-10-21,27.1111111111,0,0.77,39.1713,1022.09,18,732605
2006-10-22,8.9333333333,1,0.88,13.7494,1025.52,18,732606
2006-10-23,24.6555555556,0,0.93,14.4095,1020.54,18,732607
2006-10-24,21.1166666667,0,1,37.352,1020.47,18,732608
2006-10-25,18.9611111111,0,0.96,13.9587,1022.65,18,732609
2006-10-26,20.1166666667,0,1,12.6385,1020.29,18,732610
2006-10-27,18.9722222222,0,0.99,17.3719,1023.18,18,732611
2006-10-28,21.1111111111,0,0.96,13.3469,1025.42,18,732612
2006-10-29,31.0666666667,0,1,11.27,1029.73,18,732613
2006-10-30,23.8611111111,0,1,14.2324,1030.51,18,732614
2006-10-31,24.9722222222,0,0.96,10.8836,1029.03,18,732615
2006-11-01,17.8666666667,0,0.92,16.2932,1028.63,17,732616
2006-11-02,12.8388888889,0,1,8.05,1029.67,18,732617
2006-11-03,22.2222222222,0,1,13.7655,1025.75,18,732618
2006-11-04,20.5166666667,0,0.93,20.4309,1028.83,18,732619
2006-11-05,19.8944444444,0,1,6.9874,1030.23,17,732620
2006-11-06,19.7444444444,0,1,14.49,1030.97,17,732621
2006-11-07,18.9833333333,0,0.89,26.6777,1026.93,18,732622
2006-11-08,14.8611111111,0,0.9,24.955,1026.95,16,732623
2006-11-09,15.0222222222,1,0.96,15.8746,1026.73,18,732624
2006-11-10,18.6666666667,0,0.87,13.9426,1024.56,18,732625
2006-11-11,16.1555555556,0,0.89,22.2502,1025.46,18,732626
2006-11-12,7.6388888889,1,0.87,39.8314,1022.58,18,732627
2006-11-13,12.75,0,0.96,15.6814,1021.49,18,732628
2006-11-14,11.0111111111,0,1,17.549,1014.03,18,732629
2006-11-15,13.8111111111,0,0.93,24.5203,1011.89,18,732630
2006-11-16,10.5333333333,0,1,16.6796,1019.64,18,732631
2006-11-17,8.7722222222,0,1,15.6009,1023.13,18,732632
2006-11-18,15,0,0.96,21.9282,1026.66,18,732633
2006-11-19,15.0666666667,0,1,15.4721,1029.28,18,732634
2006-11-20,7.2666666667,1,1,14.49,1034.22,18,732635
2006-11-21,5.3666666667,1,0.96,23.9407,1034.72,17,732636
2006-11-22,7.2666666667,1,1,14.49,1038.34,18,732637
2006-11-23,3.8888888889,1,0.96,25.2287,1028.35,18,732638
2006-11-24,8.8166666667,0,0.89,35.4361,1022.53,17,732639
2006-11-25,11.1555555556,0,0.88,34.0676,1022.46,18,732640
2006-11-26,13.9333333333,0,0.92,28.014,1025.91,18,732641
2006-11-27,16.1277777778,0,1,12.5258,1026.98,13,732642
2006-11-28,17.65,0,0.99,24.2949,1025.39,13,732643
2006-11-29,26.0611111111,0,1,14.1358,1023.64,17,732644
2006-11-30,21.1555555556,0,1,15.1662,1029.21,17,732645
2006-12-01,2.2333333333,1,1,15.4077,1041.44,17,732646
2006-12-02,7.1222222222,1,0.99,14.49,1042.31,18,732647
2006-12-03,10.0222222222,0,1,13.1537,1019.62,17,732648
2006-12-04,15.2111111111,0,0.96,17.3397,1017.14,17,732649
2006-12-05,14.1944444444,1,0.89,26.565,1025.25,17,732650
2006-12-06,-0.0333333333,1,0.96,13.2664,1026.52,18,732651
2006-12-07,0.4833333333,1,1,9.2253,1021.77,18,732652
2006-12-08,1.1388888889,1,1,16.9855,1023.39,18,732653
2006-12-09,2.2666666667,1,0.93,22.0731,1033.54,18,732654
2006-12-10,1.0666666667,1,1,16.3898,1037.68,18,732655
2006-12-11,0.9833333333,1,1,12.4775,1037.44,18,732656
2006-12-12,-0.0944444444,1,1,9.6278,1035.37,13,732657
2006-12-13,1.1111111111,1,1,10.8836,1029.69,13,732658
2006-12-14,2.7555555556,0,1,24.1822,1027,13,732659
2006-12-15,3.2888888889,0,1,27.6276,1027.82,13,732660
2006-12-16,8.8111111111,1,0.96,17.4685,1034.7,13,732661
2006-12-17,3.8888888889,1,0.96,17.4202,1032.99,13,732662
2006-12-18,3.8833333333,1,0.99,12.2038,1040.35,17,732663
2006-12-19,5.05,1,0.99,9.5151,1041.94,17,732664
2006-12-20,3.0944444444,0,0.96,14.49,1041.21,18,732665
2006-12-21,3.9388888889,0,0.98,14.49,1033.91,18,732666
2006-12-22,3.0166666667,1,0.98,16.9855,1039.82,18,732667
2006-12-23,3.8888888889,1,0.96,14.49,1038.96,17,732668
2006-12-24,-2.7333333333,1,1,10.5938,1034.19,17,732669
2006-12-25,3.9444444444,1,1,16.7923,1036.43,18,732670
2006-12-26,5.0166666667,1,1,14.4417,1036.9,18,732671
2006-12-27,2.2777777778,1,0.96,14.5544,1039.44,18,732672
2006-12-28,6.2722222222,1,0.99,17.388,1036.67,13,732673
2006-12-29,12.1722222222,0,1,15.4399,1018.57,18,732674
2006-12-30,13.9333333333,0,1,20.2377,1018.13,18,732675
2006-12-31,12.9722222222,0,0.94,15.2467,1018.81,18,732676
2007-01-01,10.0444444444,0,0.96,30.3002,1019.04,17,732677
2007-01-02,32.8722222222,0,0.9,21.5257,1025.37,17,732678
2007-01-03,37.3611111111,0,0.84,15.0535,1020.99,18,732679
2007-01-04,38.9833333333,0,0.77,10.6421,1015.48,18,732680
2007-01-05,35.1,0,0.8,22.2663,1013.64,18,732681
2007-01-06,38.9833333333,0,0.67,15.4077,1014.38,18,732682
2007-01-07,39.5888888889,0,0.68,12.7512,1012.5,18,732683
2007-01-08,39.9055555556,0,0.7,25.1643,1010.69,17,732684
2007-01-09,36.0388888889,0,0.71,23.5543,1011.37,18,732685
2007-01-10,11.0222222222,1,0.93,24.0695,1018.36,18,732686
2007-01-11,1.0888888889,1,0.9,23.9246,1023.63,18,732687
2007-01-12,1.1388888889,1,0.93,30.7832,1022.6,24,732688
2007-01-13,4.5111111111,1,0.92,31.878,1028.28,18,732689
2007-01-14,8.9444444444,0,0.78,63.8526,1023.72,18,732690
2007-01-15,8.8388888889,0,0.94,53.5969,1024.22,18,732691
2007-01-16,7.2444444444,0,0.91,23.7153,1025.54,18,732692
2007-01-17,8.9777777778,1,0.95,32.8923,1024.1,18,732693
2007-01-18,8.9777777778,1,0.95,17.0338,1026.01,18,732694
2007-01-19,10,0,0.99,20.0767,1024.7,23,732695
2007-01-20,10.1166666667,0,0.96,17.2431,1025.3,18,732696
2007-01-21,10.9333333333,1,0.99,13.8138,1023.11,17,732697
2007-01-22,12.8944444444,0,0.93,13.4918,1024.25,17,732698
2007-01-23,28.9611111111,0,0.98,12.7512,1025,17,732699
2007-01-24,27.9388888889,0,0.87,25.4058,1014.24,18,732700
2007-01-25,22.2666666667,0,0.86,15.7458,1013.11,18,732701
2007-01-26,24.75,0,0.86,27.048,1017.95,18,732702
2007-01-27,27.2222222222,0,0.8,27.8852,1020.32,18,732703
2007-01-28,31.1111111111,0,0.73,14.0875,1021.13,17,732704
2007-01-29,34.05,0,0.77,12.4775,1022.25,24,732705
2007-01-30,37.8222222222,0,0.75,19.4327,1018.07,18,732706
2007-01-31,37.9388888889,1,0.93,15.7297,1016.27,18,732707
2007-02-01,8.9,1,1,21.413,1020.22,24,732708
2007-02-02,14.9722222222,0,0.91,35.6132,1027.02,18,732709
2007-02-03,9.9611111111,0,0.96,34.4701,1027.26,24,732710
2007-02-04,13.8888888889,0,0.85,46.8349,1021.8,18,732711
2007-02-05,10.0277777778,0,0.99,34.1803,1020.36,18,732712
2007-02-06,9.4,0,0.99,31.0086,1022.3,18,732713
2007-02-07,10.1777777778,0,0.99,15.3755,1021.45,18,732714
2007-02-08,13.7944444444,0,0.94,32.2,1022.18,18,732715
